# Interaction rate with the cosmic infrared and optical background radiation model of Stecker at al. 2005
# log10(E/eV)	1/lambda_PP [1/Mpc]	1/lambda_ICS [1/Mpc]	1/lambda_DPP [1/Mpc]	1/lambda_TPP [1/Mpc]
15.730	3.986929e-02	2.856208e-02	1.117814e-05	1.491497e-02
15.740	4.033569e-02	2.888446e-02	1.140607e-05	1.521768e-02
15.750	4.076835e-02	2.644810e-02	1.163139e-05	1.486046e-02
15.760	3.746500e-02	2.676919e-02	1.136263e-05	1.517021e-02
15.770	3.791002e-02	2.707919e-02	1.159453e-05	1.548054e-02
15.780	3.682521e-02	2.628001e-02	1.161028e-05	1.551043e-02
15.790	3.723345e-02	2.656033e-02	1.183992e-05	1.581830e-02
15.800	3.416938e-02	2.432829e-02	1.154375e-05	1.544721e-02
15.810	3.459100e-02	2.462147e-02	1.178133e-05	1.576810e-02
15.820	3.387839e-02	2.409402e-02	1.183500e-05	1.585241e-02
15.830	3.427363e-02	2.436615e-02	1.207142e-05	1.617236e-02
15.840	3.463930e-02	2.462000e-02	1.230451e-05	1.649004e-02
15.850	3.181567e-02	2.256984e-02	1.198712e-05	1.610305e-02
15.860	3.219215e-02	2.283061e-02	1.222706e-05	1.643052e-02
15.870	3.127140e-02	2.215761e-02	1.222874e-05	1.645586e-02
15.880	3.161701e-02	2.239412e-02	1.246590e-05	1.678074e-02
15.890	2.900036e-02	2.050251e-02	1.212283e-05	1.637084e-02
15.900	2.935670e-02	2.074889e-02	1.236792e-05	1.670887e-02
15.910	2.874652e-02	2.030115e-02	1.241129e-05	1.679175e-02
15.920	2.908094e-02	2.053045e-02	1.265492e-05	1.712891e-02
15.930	2.938963e-02	2.074341e-02	1.289458e-05	1.746304e-02
15.940	2.698125e-02	1.900801e-02	1.253274e-05	1.703772e-02
15.950	2.729943e-02	1.922716e-02	1.277956e-05	1.738239e-02
15.960	2.650522e-02	1.865120e-02	1.276515e-05	1.739916e-02
15.970	2.679770e-02	1.885059e-02	1.300881e-05	1.774119e-02
15.980	2.456794e-02	1.725053e-02	1.262335e-05	1.729257e-02
15.990	2.486886e-02	1.745741e-02	1.287486e-05	1.764779e-02
16.000	2.434761e-02	1.707809e-02	1.290870e-05	1.772929e-02
16.010	2.463029e-02	1.727105e-02	1.315851e-05	1.808371e-02
16.020	2.489052e-02	1.744950e-02	1.340367e-05	1.843430e-02
16.030	2.284023e-02	1.598295e-02	1.300191e-05	1.797054e-02
16.040	2.310873e-02	1.616685e-02	1.325450e-05	1.833237e-02
16.050	2.243756e-02	1.568370e-02	1.322872e-05	1.834485e-02
16.060	2.268456e-02	1.585141e-02	1.347780e-05	1.870392e-02
16.070	2.078778e-02	1.450001e-02	1.305449e-05	1.821636e-02
16.080	2.104146e-02	1.467345e-02	1.331131e-05	1.858871e-02
16.090	2.059704e-02	1.435262e-02	1.333647e-05	1.866877e-02
16.100	2.083567e-02	1.451476e-02	1.359149e-05	1.904040e-02
16.110	2.105481e-02	1.466416e-02	1.384125e-05	1.940743e-02
16.120	1.931255e-02	1.342679e-02	1.340424e-05	1.890524e-02
16.130	1.953892e-02	1.358099e-02	1.366172e-05	1.928429e-02
16.140	1.896227e-02	1.316895e-02	1.362232e-05	1.928783e-02
16.150	1.917079e-02	1.330996e-02	1.387606e-05	1.966409e-02
